Category,Brand,Tier,TTS Evidence,HQ Location,Company Size,Business Model,Fit Score,Fit Why,KDM Name,KDM Title,KDM LinkedIn,KDM Confidence,Secondary Contact,Marketing Org Notes,Source URLs
Beauty & Personal Care,Canvas Beauty Brand,WINNABLE,"@canvasbeauty on TikTok. Founder Stormi Steele was the first seller to hit $1M in a single TikTok Live (June 2024), repeated it in 3 hrs (Sept 2024), did ~$3M over Black Friday 2024 (incl. $2.1M in a 12-hr 'mega live'), and TikTok named Canvas its #1 selling brand in America. Live-selling + affiliate native.","Huntsville, Alabama, USA","Private, founder-owned. Sold 1M+ units in year one; multimillion-dollar (est. $20M+ revenue band). Small in-house team + warehouse ops.","DTC / social-commerce hybrid (TikTok Shop + own site) — hair, skin & body care",5,Entire model is high-frequency TikTok Live + affiliate content; burns through creator content daily and lives or dies on content velocity.,Stormi Steele,Founder & CEO,https://www.linkedin.com/in/stormi-steele-183b19357/,HIGH,,"Founder-led; Steele personally hosts the record-setting lives, so social/creator budget sits with her. No holding-co agency of record identified — content/live ops appear in-house, making this a clean partnership target. URL verified: profile labeled 'CANVAS BEAUTY BRAND' (note: multiple Stormi Steele profiles exist; matched one is the correct brand profile).",https://www.inc.com/ava-mandoli/how-canvas-beauty-founder-stormi-steele-drove-1-million-tiktok-shop-sales-single-day.html https://wwd.com/beauty-industry-news/beauty-features/tiktok-canvas-beauty-body-glaze-viral-beauty-shop-1236749822/ https://www.linkedin.com/in/stormi-steele-183b19357/
Beauty & Personal Care,goPure Beauty,WINNABLE,"@gopurebeauty on TikTok. Won TikTok Shop 'Best Performing Campaign of the Year' for the Sculpt & Tone Arm Cream / Super Brand Day (10,000+ affiliates, 25,000 videos, 80M impressions); ran 483 hours of TikTok Live in 2025 and surpassed $100K in an 8-hour launch Live.",United States (Los Angeles area per SVP marketing; exact HQ city not disclosed),"Mid-market DTC skincare; expanded to ~2,000 Target doors. Employee count undisclosed (est. 50-200).",DTC (own site + TikTok Shop) transitioning to retail hybrid (Target),5,"Brand was born from a TikTok influencer review and runs a 10,000+ affiliate program plus near-daily Lives — heavily creator-content dependent.",Bethany Crellin,Senior VP of Marketing,https://www.linkedin.com/in/bethany-crellin-b01bb222,HIGH,"Erin Keyan, Co-Founder/CEO (LinkedIn URL not verified)",SVP Marketing Bethany Crellin (LA) owns marketing; co-founders Erin & Alex Keyan. Active in-house social/affiliate/Live team; uses UGC vendors (Insense case study) but no locked holding-co AOR found. URL verified: profile confirms 'Senior VP of Marketing- goPure'.,https://www.happi.com/exclusives/indie-beauty-brand-gopure-hosts-influencers-editors-at-tiktok-headquarters/ https://ads.tiktok.com/business/en-US/inspiration/gopure-841 https://www.linkedin.com/in/bethany-crellin-b01bb222
Beauty & Personal Care,Divi (Divi Official),WINNABLE,@official.divi on TikTok. Scalp serum is a TikTok Shop staple; agency Social Tale case study reports growing Divi's TikTok Shop revenue from $60K to $450K/month. Influencer-founded brand built on creator content.,"Dallas, Texas, USA","Targeting ~$100M revenue; received minority growth investment from Norwest (2024). Mid-market, scaling.",DTC + retail (Ulta Beauty at Target) hybrid; scalp/hair health,5,"Influencer-founded (Dani Austin), affiliate/creator-led acquisition; needs constant demo/before-after content across a large affiliate base.",Alina Piernick,Director of Affiliate Marketing,https://www.linkedin.com/in/alina-piernick-4280b2129/,HIGH,"Dani Austin Ramirez, Founder — https://www.linkedin.com/in/dani-austin-ramirez-182796252","In-house affiliate/creator function (Alina Piernick owns affiliate budget); also hiring Director of Influencer Marketing per LinkedIn jobs. TikTok Shop managed with agency Social Tale as TSP partner — a co-sell/displacement dynamic to note. Both KDM URL (Director of Affiliate Marketing at Divi) and secondary founder URL (Dani Austin Ramirez, Divi) verified.",https://www.prnewswire.com/news-releases/divi-the-scalp-and-hair-health-brand-founded-by-entrepreneur-dani-austin-receives-minority-investment-from-norwest-302302532.html https://socialtale.co/ https://www.linkedin.com/in/alina-piernick-4280b2129/
Beauty & Personal Care,Wonderskin,WINNABLE,"Wonder Blading Lip Stain Masque is a TikTok-viral SKU with 372,000+ sales on TikTok Shop; TikTok is the brand's primary growth engine.",US market-primary (US manufacturing/lab; corporate HQ London — dual US/UK). US is the core market.,Mid-market; closed $50M Series A in 2025 to fund retail expansion.,DTC + retail hybrid (color cosmetics),5,Single hero SKU rode TikTok virality; sustaining requires continuous creator demo content and affiliate volume.,Marina Kalenchyts,Co-Founder & Brand Director,https://www.linkedin.com/in/marina-kalenchyts-a930b491/,HIGH,"Michael Malinsky, CEO & Co-Founder (LinkedIn not verified)","Named co-founders in press: Michael Malinsky (CEO), Marina Kalenchyts (brand director), Doug Cooper (COO). Kalenchyts role and LinkedIn URL now verified (profile labeled 'Marina Kalenchyts - WONDERSKIN'; role confirmed co-founder & Brand Director). Dual US/UK ops; verify US-market marketing lead before outreach.",https://theindustry.beauty/the-interview-wonderskin-co-founder-marina-kalenchyts-on-viral-products-tiktok-growth-and-future-plans/ https://www.beautyindependent.com/wonderskin-raises-50m-series-a-funding-lip-stain/ https://www.linkedin.com/in/marina-kalenchyts-a930b491/
Beauty & Personal Care,Youthforia,WINNABLE,Intentionally TikTok-native brand (@youthforia); hero BYO Blush color-changing blush racked up ~19M views and products routinely hit 50M+ TikTok views. Sells via TikTok Shop; specific Shop GMV not publicly disclosed.,"San Francisco Bay Area, California, USA",Small indie startup; Shark Tank / Mark Cuban-backed. Lean team.,DTC + retail (Ulta Beauty); clean color cosmetics,5,Founder explicitly built it as a TikTok-native brand reliant on viral organic + creator content to move color-cosmetic SKUs.,Fiona Co Chan,Founder & CEO,https://hk.linkedin.com/in/fionaco,HIGH,,Founder Fiona Co Chan owns brand/content direction (profile based in Hong Kong; brand US-operated). URL verified: profile labeled 'CEO and Founder at Youthforia'. Small org grown 'beyond founder's fame' per The Drum; no AOR identified. TikTok Shop presence real but GMV undisclosed — weaker TTS data than others here.,https://fashionista.com/2022/11/youthforia-makeup-brand-founder-interview https://wwd.com/feature/youthforia-beauty-brand-fiona-co-chan-1234877155/ https://hk.linkedin.com/in/fionaco
Beauty & Personal Care,Tree Hut (Naterra International),FLAGSHIP,"@treehut with 2.1M TikTok followers; #ShowerTok / #treehutsugarscrub UGC engine (33,000+ videos, 910M+ hashtag views). Shea Sugar Scrubs are category best-sellers sold via TikTok Shop; a defining TikTok-driven body-care success.","Farmers Branch, Texas, USA (Naterra)",Parent Naterra net sales ~$400M (up from ~$40M in 2019); mid-large.,"Retail-led (Ulta, Target, mass) + DTC + marketplace hybrid",4,"Body-care category leader whose growth is TikTok-UGC-driven; constantly needs scent-drop and routine content, though retail is the revenue base.",Sarah Craig,"Head of Integrated Media, Tree Hut",https://www.linkedin.com/in/sarah-craig-135274169/,HIGH,"Luis Garcia, CMO, Naterra International — https://www.linkedin.com/in/luis-garcia-529a945/","Naterra hired its first-ever CMO (Luis Garcia) to drive Tree Hut + portfolio — URL verified (Nov 2024 appointment, confirmed CMO Naterra). Sarah Craig URL verified: 'Head of Integrated Media @ Tree Hut' leading global media/digital/influencer strategy, current (bio references Tree Hut's 2026 Super Bowl commercial). Larger, more structured org than the winnable set; may have media-agency relationships.",https://www.glossy.co/pop/glossy-pop-newsletter-inside-tree-huts-unexpected-tiktok-driven-glow-up/ https://huntscanlon.com/egon-zehnder-places-chief-marketing-officer-at-naterra-international/ https://www.linkedin.com/in/sarah-craig-135274169/
Beauty & Personal Care,medicube (APR Corp.),FLAGSHIP,"medicube US Store was the largest US TikTok Shop seller in Q1 2026 (~$65.9M, 1.18M units); $100M+ cumulative TTS revenue since 2023; ~85,300 affiliated creators (largest network in the top 10); first K-beauty brand to run a US TikTok Shop Super Brand Day (Mar 2025).","Seoul, South Korea (parent APR); US-market-primary TikTok Shop operation",APR is publicly listed (KOSPI); billions KRW revenue; large.,"Social-commerce/marketplace-led (TikTok Shop, Amazon) + retail (Ulta) hybrid",4,"Runs the biggest beauty affiliate/creator machine on TTS; content velocity is core, but scale/sophistication make it a flagship map anchor more than an easy win.",Byunghoon Victor Kim,"CEO & Founder, APR (brand face 'CEOppa')",,LOW,,"CEO Kim identity confirmed (founder & CEO of APR Corp, parent of medicube; Korea-based, public brand face). No personal LinkedIn URL located in search (public presence is Instagram @byunghoon_victor_kim, not LinkedIn) — URL unverified, left blank. US creator/affiliate budget is run by a US team whose named lead was not verifiable in search; individual US KDM unconfirmed — do not guess. Massive affiliate program likely partly agency-supported.",https://wwd.com/beauty-industry-news/beauty-features/tiktok-shop-holiday-sale-beauty-2025-1238408747/ https://www.globalcosmeticsnews.com/medicube-maker-apr-becomes-k-beauty-powerhouse-as-tiktok-buzz-fuels-billionaire-breakthrough/ https://www.prweb.com/releases/medicube-becomes-first-k-beauty-brand-to-launch-tiktok-shop-super-brand-day-in-the-us-302405486.html
Womenswear & Underwear,CAKES Body,WINNABLE,"@cakesbody on TikTok Shop; repeatedly cited as the top-performing undergarment brand on TTS. Viral 'CAKES circles' non-adhesive nipple cover reported ~$25M GMV; ~$95M net sales 2024. Shark Tank alum, adhesive-free silicone nip covers.","New York, NY / Los Angeles, CA (dual-founder)",~$95M net sales (2024); est. 50-100 employees,"DTC + marketplace hybrid (own site, TikTok Shop, Amazon, Shopify top 1%)",5,Single-hero-SKU brand that lives or dies on creator try-on/demo volume; runs 150+ 'Hype Girl' affiliates and refreshes content weekly.,Krysta Lewis,Head of Growth,https://www.linkedin.com/in/krystalewis,HIGH,"Taylor Capuano, Co-Founder / Chief Creative Officer, https://www.linkedin.com/in/taylorkcapuano/ (also Casey Capuano Sarai, Co-Founder & CEO, https://www.linkedin.com/in/casey-capuano-sarai-0504b975/)","Founder-led (twins Taylor Capuano, CCO, & Casey Capuano Sarai, CEO), content run in-house/creator-first; famous for 'don't approve creator content' philosophy. Head of Growth Krysta Lewis (ex-VP Marketing at Obvi, founder of Aisling Organics) owns paid social/creator budget; role and LinkedIn URL independently verified (linkedin.com/in/krystalewis). No holding-co agency of record found.",https://www.glossy.co/fashion/viral-brand-cakes-bodys-advice-for-tiktok-success-dont-approve-content/ https://www.tramicheck.com/newsletter/cakes-bodys-playbook-for-success-a-tiktok-shop-case-study https://www.linkedin.com/in/taylorkcapuano/ https://www.linkedin.com/in/krystalewis
Womenswear & Underwear,Popilush,WINNABLE,"@popilush on TikTok Shop; ran a TikTok Shop 'Super Brand Day' in the US (PRNewswire, Oct 2024); shapewear-dress hero product, 2M+ items sold; TTS store live at shop.tiktok.com/us/k/popilush-shapewear-dress.","New York, NY (US office; brand also EU)","~$62M revenue (2024); mid-market, Inc. Female Founders 500","DTC + marketplace hybrid (own site, TikTok Shop, Amazon, now Nordstrom/Macy's, first Las Vegas store)",5,Built-in-shapewear 'dress that shapes' concept demands constant try-on/transformation content; scales via large creator roster and TTS events.,Eve DeMartine,Founder & CEO,https://www.linkedin.com/in/eve-demartine-8870b4281/,HIGH,,"Eve DeMartine is the public founder/CEO/face (Forbes, Inc. 2025 Female Founders 500, Gold Stevie Award); LinkedIn profile independently verified (linkedin.com/in/eve-demartine-8870b4281/). Functions largely as brand narrator so day-to-day social/affiliate budget-authority may sit with a marketing lead — confirm the actual social/affiliate lead. New NY office signals in-house team build-out. No named agency of record.",https://www.forbes.com/sites/nadjasayej/2025/05/14/popilush-shapewear-fashion-eve-demartine/ https://www.prnewswire.com/news-releases/popilush-launches-tiktok-shop-super-brand-day-in-the-us-302289447.html https://www.linkedin.com/in/eve-demartine-8870b4281/
Womenswear & Underwear,Pinsy Shapewear,WINNABLE,Size-inclusive 'pretty shapewear' DTC brand launched off a viral TikTok in 2020; markets primarily on TikTok/Instagram and sells via TikTok Shop (WWD Sourcing Journal profile).,"United States (HQ unconfirmed; founder ex-Amazon Corporate, Hawaii roots)",Mid-market DTC; privately held (employee count unconfirmed),DTC (own site wearpinsy.com) + social commerce,5,Fashion-forward 'made-to-be-seen' shapewear positioned for social virality; depends on creator try-on content to sell fit/inclusivity.,Ratchel Pinlac,Founder & CEO / Chief Brand Officer,https://www.linkedin.com/in/ratchelpinlac/,HIGH,"Michelle Wenke, CEO (named in company management listings; LinkedIn URL not verified)","Ratchel Pinlac (founder, ex-Amazon Corporate ~10 yrs) owns brand + product and is the public voice; LinkedIn URL independently verified (linkedin.com/in/ratchelpinlac/). Sources variously list her as Founder & CEO and Founder & Chief Brand Officer. Founder-led, no holding-co agency identified. Confirm who specifically owns creator/affiliate budget.",https://wwd.com/sourcing-journal/industry-news/pinsy-shapewear-size-inclusive-ecommerce-dtc-tiktok-instagram-1238794850/ https://www.linkedin.com/in/ratchelpinlac/ https://rocketreach.co/pinsy-shapewear-management_b7f5de69c25d76ed
