Category,Agency,Type,Brands Serviced,Evidence,HQ / Size,Partnership Angle,Key Contact,Key Contact Confidence,Source URLs
Beauty & Personal Care,Social Tale,"TikTok Shop management / affiliate agency (Official TikTok Shop Partner, US & UK)","Divi (scalp/hair), Style Edit, Epres, Primarily Pure + 50+ beauty/wellness/consumer brands","Public case study: grew Divi's TikTok Shop revenue $60K -> $450K/month. Claims $100M+ GMV across 50+ brands and 1,200+ creators activated; beauty is a named vertical with its own landing page.","US & UK; mid-size specialist agency (1,200+ creators in network)",Channel partner / white-label target — Spira can supply AI-generated creator content + affiliate creative to feed Social Tale's shop-management engine and lift the content velocity their scaling phase depends on.,,LOW,https://socialtale.co/ https://socialtale.co/tiktok-shop-agency/beauty https://leadspro.ai/blogs/news/case-study-tiktok-shop-marketing
Beauty & Personal Care,MomentIQ,TikTok Shop agency — creator LIVE + affiliate + paid (Official TSP),200+ DTC brands with heavy beauty concentration (beauty = its #1 category); $150M+ brand revenue driven,TikTok named MomentIQ the #1 US TikTok Shop Partner for selling via TikTok Shop posts in Q3 2025; produces 600+ hours of LIVE selling/month at ~$300K avg revenue per Live; publishes beauty-specific paid-media case studies.,"Los Angeles, CA; hybrid team of Live-selling account managers","Competitor / channel partner — overlaps Spira on creator sourcing and content, but Spira's AI content engine could white-label to scale MomentIQ's 600+ monthly Live hours and affiliate creative pipeline.",,LOW,https://bemomentiq.com/ https://bemomentiq.com/our-work https://bemomentiq.com/blog/how-beauty-brands-crush-tiktok-shop-ads-5-paid-media-case
Beauty & Personal Care,MediaLabs,"Full-stack TikTok Shop agency (Official TikTok Partner) — seller center, affiliates, UGC, Live","150+ brand partners incl. beauty-adjacent/wellness (Bears with Benefits beauty gummies, Pure Peak, Dr. Dent oral care, Terra Health)","Claims $500M+ creator-driven GMV and 3,000+ vetted creators; official TSP status; publishes ranked TikTok Shop agency/case-study content. Beauty-specific case studies are lighter than Social Tale/MomentIQ (skews wellness/supplements) — flagged honestly.","Mid-large TSP; 3,000+ creator network","White-label target — supply Spira AI UGC at volume to feed their 3,000-creator network and UGC production line, where content quantity is the bottleneck.",,LOW,https://medialabs-co.com/tiktok-shop-agency https://medialabs-co.com/blog/best-tiktok-shop-agencies-2026
Beauty & Personal Care,Pattern,Ecommerce/marketplace accelerator with a TikTok Shop creator-commerce practice,CeraVe (TikTok Shop launch + halo tracking); broad beauty/CPG roster,Pattern's TrendVision tech tracked CeraVe's TikTok Shop launch and quantified the halo lift across Amazon/DTC/retail; cited in beauty trade coverage as running affiliate-network activations that turn creator demos into purchases.,"Lehi, Utah; large global accelerator (1,000+ employees)",Channel partner — Spira can plug AI creator content into Pattern's brand roster to feed the affiliate-network activations their playbook relies on; also a data/attribution-adjacent competitor to watch.,,LOW,https://www.advertisepurple.com/tiktok-shop-affiliate-program-complete-2025-guide/ https://www.beautyindependent.com/strategies-behind-beauty-top-selling-brands-tiktok-shop/
Womenswear & Underwear,Social Snowball,Affiliate / creator-commerce SaaS platform (TikTok Shop affiliate management),SooSlick (shapewear) — documented TTS affiliate case study; broad DTC/apparel roster,"Published SooSlick shapewear case study: launched a TikTok Shop affiliate program, uploaded full catalog, used Safelink one-time discount codes and post-purchase affiliate flywheel. Official TikTok Shop app-store integration for affiliate/creator management.",US-based venture-backed SaaS; growth-stage,"Channel partner / white-label target: they own affiliate onboarding, attribution and code infra but NOT content creation — Spira's AI creator content plugs directly into their affiliate flywheel to give brands the volume of assets their creators need.",,LOW,https://www.socialsnowball.io/tiktok-shop-affiliate-management https://seller-us.tiktok.com/appstore/us/7381410417518561066
Womenswear & Underwear,The Shelf,"Data-first influencer marketing agency (full-funnel, TikTok/IG/YouTube)","Intimate-apparel / shapewear / lingerie brands (category specialty); one luxury lingerie campaign reached 2.6M+ people, 183 content pieces, 4.42% IG engagement","Publishes dedicated intimate-apparel (lingerie, shapewear, sleepwear) marketing playbooks and cites a lingerie campaign case study; NY-based, Inc. 5000 2025 honoree, fashion influencer practice.","New York, NY; mid-size agency (Inc. 5000)","Competitor / channel partner: they run manual influencer campaigns in the exact category — Spira can white-label AI content generation to scale their creative output, or compete on cost/velocity for the same shapewear clients.",,LOW,https://www.theshelf.com/the-blog/intimate-apparel-industry-marketing-lingerie/ https://www.theshelf.com/influencer-marketing-services/fashion-2/
Womenswear & Underwear,MediaLabs,Official TikTok Shop Partner (TSP) — full-service creator/affiliate + live agency,"150+ brand partners incl. womenswear / activewear / apparel category; $500M+ creator-driven GMV, 3,000+ vetted creators","Self-reported (and TSP-listed) $500M+ managed GMV; runs dedicated womenswear/activewear/apparel category programs (Seller Center mgmt, affiliate recruiting, UGC at scale, GMV Max/Spark Ads, TikTok LIVE) out of LA and NY.",Los Angeles + New York; TSP-scale agency,"Channel partner: as a TSP managing 150+ apparel brands' affiliate/UGC engines, they need constant creator content — Spira supplies AI-generated creator video at scale to feed their managed shops (reseller / content-supply relationship).",,LOW,https://medialabs-co.com/tiktok-shop-agency https://medialabs-co.com/blog/best-tiktok-shop-agencies-2026
Womenswear & Underwear,Orca (merged into 'Third' in 2026),TikTok Shop livestream + affiliate / social-commerce agency,"Broad TTS roster (Estée Lauder, e.l.f., Liquid I.V., Samsung, Mars); 70,000+ affiliate sellers — TTS-general, not womenswear-specific","Sold the first product ever on TikTok Shop US; Culver City operation running 9 livestream studios 7 days/week; full talent casting + affiliate management. NOTE: category evidence is TTS-broad (beauty/CPG), not specifically womenswear/underwear — include as a channel play, verify apparel case studies before positioning.","Culver City, CA; large (9 studios, 70K+ affiliate network)",Channel partner / competitor: high-volume livestream + affiliate operation that consumes enormous creator content — Spira AI content can feed their video/livestream pipeline; also a competitor on managed content production.,,LOW,https://www.orcashop.co/ https://www.netinfluencer.com/social-commerce-agencies-orca-and-sapphire-studios-merge-to-form-third/
Phones & Electronics,MediaLabs,Full-stack TikTok Shop agency / Official TikTok Shop Partner (TSP),"Audien Hearing (electronics/OTC hearing aids, Q1 2026); roster spans beauty, supplements, apparel, home, pet, wellness, and electronics (Dr. Dent, Terra Health, Bears with Benefits, Pure Peak).","Published Audien Hearing case study (medialabs-co.com/case-studies/audien-hearing) describing a managed TTS creator campaign; cites $500M+ managed GMV and 3,000+ vetted creators including an electronics vertical.","US-based; managed roster 3,000+ creators, $500M+ managed GMV (self-reported)","Channel partner + competitive-overlap: Spira can supply AI-generated creator content/briefs to feed their managed creator ops, or compete as a lower-cost content engine on their electronics accounts.",,LOW,https://medialabs-co.com/case-studies/audien-hearing https://medialabs-co.com/tiktok-shop-agency https://medialabs-co.com/blog/best-tiktok-shop-agencies-2026
Phones & Electronics,InsMark (InsMark Influencer / MCN Agency),MCN / influencer + creator-commerce agency,Wyze (smart-home electronics) — documented TTS growth case study.,Detailed Wyze TikTok Shop case study on insmarkmcn.com ('Wyze Didn't Just Sell Smart Cameras — It Rebuilt a...') covering the KOL+KOC creator strategy behind Wyze's $40M+ TTS GMV.,MCN/creator-network agency (size undisclosed),Channel partner / white-label target: Spira can white-label AI content creation and creator-matching workflows to an MCN whose value prop is creator volume; also a competitor on the content-production layer.,,LOW,https://www.insmarkmcn.com/en/sys-nd/2700.html
Phones & Electronics,Orca (orcashop.co),Livestream & social-commerce / TikTok Shop provider,"Samsung (electronics) and Amazon among named clients; also Estée Lauder, Liquid IV, Blue Bottle, Zappos — operates 9 livestream studios and 70,000+ affiliate sellers.",orcashop.co and coverage list Samsung and Amazon as clients; runs shoppable livestreams/short-video across TTS at scale from Culver City studios.,"Culver City, CA; 9 livestream studios (7 days/week), 70,000+ affiliate sellers",Channel partner: Spira AI can generate the high volume of short-form/shoppable creative that feeds Orca's livestream + affiliate machine — content-supply integration rather than direct competition.,,LOW,https://www.orcashop.co/ https://www.linkedin.com/company/orcashopco https://thesocialshepherd.com/blog/top-tiktok-shop-agencies-us
